DateTime;Open;High;Low;Close;TickVolume;Spread
2024.07.18 14:00;94.987;94.993;94.959;94.985;262;11
2024.07.18 14:10;94.985;95.006;94.974;94.975;267;11
2024.07.18 14:20;94.975;94.986;94.956;94.962;286;12
2024.07.18 14:30;94.962;94.983;94.956;94.964;263;11
2024.07.18 14:40;94.964;95.000;94.962;94.984;198;8
2024.07.18 14:50;94.988;94.994;94.955;94.968;192;8
2024.07.18 15:00;94.967;94.991;94.952;94.955;259;8
2024.07.18 15:10;94.956;94.984;94.938;94.972;340;8
2024.07.18 15:20;94.970;95.003;94.951;94.951;361;8
2024.07.18 15:30;94.934;94.941;94.855;94.922;768;9
2024.07.18 15:40;94.923;95.034;94.914;95.023;648;12
2024.07.18 15:50;95.024;95.034;94.974;94.996;621;13
2024.07.18 16:00;95.001;95.030;94.950;94.997;689;9
2024.07.18 16:10;94.992;95.036;94.984;95.020;570;8
2024.07.18 16:20;95.018;95.033;94.987;94.998;509;8
2024.07.18 16:30;94.995;95.035;94.990;95.031;579;8
2024.07.18 16:40;95.031;95.052;94.964;94.988;608;9
2024.07.18 16:50;94.988;95.089;94.969;95.059;572;8
2024.07.18 17:00;95.059;95.119;95.040;95.067;594;8
2024.07.18 17:10;95.069;95.107;95.041;95.105;415;8
2024.07.18 17:20;95.104;95.174;95.071;95.165;410;8
2024.07.18 17:30;95.165;95.167;95.098;95.100;493;8
2024.07.18 17:40;95.097;95.100;95.003;95.100;622;8
2024.07.18 17:50;95.103;95.185;95.078;95.174;590;6
2024.07.18 18:00;95.174;95.211;95.134;95.160;602;6
2024.07.18 18:10;95.160;95.170;95.086;95.088;476;8
2024.07.18 18:20;95.087;95.103;95.043;95.064;408;8
2024.07.18 18:30;95.064;95.155;95.045;95.106;445;8
2024.07.18 18:40;95.106;95.220;95.106;95.136;523;8
2024.07.18 18:50;95.136;95.197;95.124;95.182;353;8
2024.07.18 19:00;95.179;95.195;95.143;95.180;379;8
2024.07.18 19:10;95.178;95.185;95.114;95.127;339;8
2024.07.18 19:20;95.124;95.189;95.124;95.189;274;8
2024.07.18 19:30;95.189;95.267;95.182;95.248;320;8
2024.07.18 19:40;95.246;95.259;95.226;95.227;361;8
2024.07.18 19:50;95.228;95.288;95.220;95.282;250;8
2024.07.18 20:00;95.285;95.288;95.229;95.232;358;4
2024.07.18 20:10;95.232;95.277;95.230;95.262;276;6
2024.07.18 20:20;95.262;95.289;95.250;95.257;238;7
2024.07.18 20:30;95.257;95.280;95.247;95.269;176;8
2024.07.18 20:40;95.272;95.291;95.251;95.279;183;8
2024.07.18 20:50;95.281;95.281;95.205;95.219;231;8
2024.07.18 21:00;95.219;95.222;95.157;95.180;365;8
2024.07.18 21:10;95.180;95.185;95.129;95.130;235;8
2024.07.18 21:20;95.128;95.144;95.112;95.118;213;8
2024.07.18 21:30;95.116;95.137;95.097;95.098;237;8
2024.07.18 21:40;95.097;95.120;95.091;95.094;181;6
2024.07.18 21:50;95.094;95.140;95.081;95.113;209;8
2024.07.18 22:00;95.108;95.138;95.083;95.138;235;6
2024.07.18 22:10;95.136;95.145;95.106;95.118;229;10
2024.07.18 22:20;95.116;95.143;95.102;95.138;189;9
2024.07.18 22:30;95.138;95.151;95.122;95.149;238;10
2024.07.18 22:40;95.152;95.197;95.143;95.196;145;10
2024.07.18 22:50;95.196;95.203;95.123;95.130;179;12
2024.07.18 23:00;95.127;95.161;95.118;95.161;95;4
2024.07.18 23:10;95.161;95.161;95.126;95.130;73;12
2024.07.18 23:20;95.131;95.147;95.128;95.143;57;4
2024.07.18 23:30;95.140;95.151;95.135;95.139;105;4
2024.07.18 23:40;95.137;95.138;95.121;95.129;116;19
2024.07.18 23:50;95.129;95.131;95.091;95.096;143;21
2024.07.19 00:00;95.100;95.177;95.031;95.112;79;47
2024.07.19 00:10;95.125;95.160;95.100;95.130;56;50
2024.07.19 00:20;95.130;95.149;95.080;95.100;46;47
2024.07.19 00:30;95.101;95.168;95.089;95.124;61;47
2024.07.19 00:40;95.124;95.150;95.116;95.141;53;30
2024.07.19 00:50;95.141;95.182;95.121;95.129;159;25
2024.07.19 01:00;95.127;95.148;95.056;95.094;314;13
2024.07.19 01:10;95.093;95.093;95.055;95.056;208;8
2024.07.19 01:20;95.055;95.080;95.045;95.055;187;8
2024.07.19 01:30;95.055;95.062;95.035;95.051;197;8
2024.07.19 01:40;95.055;95.083;95.050;95.083;92;7
2024.07.19 01:50;95.084;95.091;95.046;95.047;160;13
2024.07.19 02:00;95.047;95.052;95.030;95.038;189;13
2024.07.19 02:10;95.037;95.041;95.015;95.023;126;9
2024.07.19 02:20;95.023;95.029;94.989;94.989;107;6
2024.07.19 02:30;94.992;95.027;94.992;95.017;150;8
2024.07.19 02:40;95.019;95.021;94.949;94.958;202;8
2024.07.19 02:50;94.957;94.994;94.951;94.969;285;7
2024.07.19 03:00;94.971;94.971;94.828;94.891;541;7
2024.07.19 03:10;94.892;94.983;94.886;94.961;433;8
2024.07.19 03:20;94.961;95.067;94.961;95.005;354;7
2024.07.19 03:30;95.005;95.051;94.991;95.023;348;7
2024.07.19 03:40;95.025;95.029;94.982;94.990;385;8
2024.07.19 03:50;94.989;95.010;94.853;94.860;636;8
2024.07.19 04:00;94.857;94.908;94.802;94.818;518;8
2024.07.19 04:10;94.813;94.836;94.789;94.818;464;8
2024.07.19 04:20;94.816;94.878;94.789;94.867;419;8
2024.07.19 04:30;94.868;94.903;94.808;94.837;354;8
2024.07.19 04:40;94.837;94.928;94.830;94.909;399;8
2024.07.19 04:50;94.912;94.915;94.860;94.896;380;8
2024.07.19 05:00;94.899;94.932;94.844;94.919;401;10
2024.07.19 05:10;94.920;94.952;94.916;94.943;463;8
2024.07.19 05:20;94.942;94.985;94.907;94.941;408;8
2024.07.19 05:30;94.940;94.983;94.928;94.954;293;8
2024.07.19 05:40;94.955;95.010;94.955;94.979;253;6
2024.07.19 05:50;94.978;94.998;94.954;94.987;200;6
2024.07.19 06:00;94.983;94.990;94.943;94.945;199;8
2024.07.19 06:10;94.946;94.955;94.911;94.922;177;8
2024.07.19 06:20;94.921;94.928;94.887;94.913;147;7
2024.07.19 06:30;94.913;94.913;94.853;94.858;255;8
2024.07.19 06:40;94.858;94.870;94.845;94.862;155;8
2024.07.19 06:50;94.859;94.868;94.839;94.865;202;8
2024.07.19 07:00;94.865;94.880;94.860;94.878;203;5
2024.07.19 07:10;94.878;94.904;94.873;94.900;165;8
2024.07.19 07:20;94.900;94.902;94.888;94.896;143;8
2024.07.19 07:30;94.894;94.899;94.875;94.882;127;10
2024.07.19 07:40;94.882;94.883;94.837;94.841;181;9
2024.07.19 07:50;94.847;94.848;94.810;94.839;179;3
2024.07.19 08:00;94.838;94.976;94.835;94.965;447;8
2024.07.19 08:10;94.966;95.064;94.951;95.015;378;8
2024.07.19 08:20;95.020;95.069;95.017;95.066;253;8
2024.07.19 08:30;95.066;95.095;95.046;95.085;306;8
2024.07.19 08:40;95.089;95.148;95.089;95.146;354;8
2024.07.19 08:50;95.148;95.177;95.132;95.149;301;8
2024.07.19 09:00;95.150;95.150;95.104;95.133;360;8
2024.07.19 09:10;95.133;95.167;95.104;95.149;351;9
2024.07.19 09:20;95.149;95.177;95.126;95.134;288;11
2024.07.19 09:30;95.135;95.166;95.054;95.077;402;10
2024.07.19 09:40;95.076;95.141;95.074;95.090;364;8
2024.07.19 09:50;95.090;95.096;94.873;94.918;612;8
2024.07.19 10:00;94.915;94.925;94.768;94.878;742;8
2024.07.19 10:10;94.878;94.885;94.797;94.853;627;8
2024.07.19 10:20;94.856;94.919;94.820;94.888;581;7
2024.07.19 10:30;94.890;94.945;94.864;94.938;560;8
2024.07.19 10:40;94.938;94.938;94.852;94.864;483;8
2024.07.19 10:50;94.864;94.910;94.850;94.862;445;8
2024.07.19 11:00;94.862;94.909;94.836;94.847;391;6
2024.07.19 11:10;94.843;94.867;94.724;94.725;449;8
2024.07.19 11:20;94.725;94.758;94.704;94.746;420;8
2024.07.19 11:30;94.746;94.762;94.716;94.737;364;8
2024.07.19 11:40;94.737;94.809;94.729;94.786;298;7
2024.07.19 11:50;94.787;94.821;94.733;94.761;378;13
2024.07.19 12:00;94.760;94.790;94.730;94.739;318;8
2024.07.19 12:10;94.738;94.753;94.708;94.752;312;7
2024.07.19 12:20;94.752;94.771;94.717;94.766;276;8
2024.07.19 12:30;94.767;94.795;94.752;94.775;267;8
2024.07.19 12:40;94.775;94.798;94.759;94.780;310;8
2024.07.19 12:50;94.778;94.801;94.750;94.755;229;8
2024.07.19 13:00;94.751;94.773;94.737;94.773;297;8
2024.07.19 13:10;94.774;94.852;94.773;94.852;304;5
2024.07.19 13:20;94.851;94.888;94.844;94.867;356;6
2024.07.19 13:30;94.870;94.887;94.857;94.865;269;8
